 i, m(i) , mdata(i) , weights(i) , loss(1,i) ,nobs(i)
  42,          0.55943109,          0.38593000,       2439.02439024,         -0.17350109,   2953,LFP     _Age_51._55._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  43,          0.34012316,          0.35236000,       1754.38596491,          0.01223684,   2111,LFP     _Age_56._60._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  44,          0.21668910,          0.11498000,       2857.14285714,         -0.10170910,   1486,LFP     _Age_61._65._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  45,          0.12098501,          0.04520000,       4166.66666667,         -0.07578501,    934,LFP     _Age_66._70._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  46,          0.05602241,          0.03623000,       4000.00000000,         -0.01979241,    714,LFP     _Age_71._75._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  47,          0.75822168,          0.61279000,       1250.00000000,         -0.14543168,   1642,LFP     _Age_51._55._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  48,          0.63060897,          0.41079000,       1000.00000000,         -0.21981897,   1248,LFP     _Age_56._60._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  49,          0.29370079,          0.26848000,       1315.78947368,         -0.02522079,   1270,LFP     _Age_61._65._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  50,          0.00573066,          0.13810000,       1754.38596491,          0.13236934,   1047,LFP     _Age_66._70._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  51,          0.00868486,          0.05556000,       3125.00000000,          0.04687514,    806,LFP     _Age_71._75._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
