		collinear	means	Assets	Assets	LFP	LFP	Cov	Cov	Earn	Earn	lagEarn	lagEarn	EarnDif	EarnDif	NbEarn	NbEarn	NbCov	NbCov	Age	Age	Married	Married	Female	Female	Numk	Numk	Edu	Edu	XP	XP	CovXP	CovXP	Cohort	Cohort	LFP	LFP	Cov	Cov	lagLFP	lagLFP	lagCov	lagCov	Assets	Assets	Year	Year	YearOdd	YearOdd
55	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	16	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
56	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	0	7	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
57	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	8	11	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
58	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	12	15	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
59	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	16	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
60	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
61	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	1	2	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
62	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	3	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
63	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	0	0	2004	2008	0	1
64	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	0.1	3	2004	2008	0	1
65	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	3.1	6	2004	2008	0	1
66	LFP	0	0	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	6.1	999	2004	2008	0	1
67	Part-Time	0	0	-999	999	2	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	1	1	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
68	Part-Time	0	0	-999	999	2	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
69	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	-999	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
70	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	56	60	-999	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
71	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	61	65	-999	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
72	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	66	70	-999	999	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
73	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
74	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	56	60	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
75	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	61	65	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
76	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	66	70	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
77	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	71	75	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
78	FLFP	0	0	-999	999	-999	999	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	51	75	-999	999	0	0	-999	999	0	7	-999	999	-999	999	-999	999	1	999	-999	999	-999	999	-999	999	-999	999	2004	2008	0	1
